Hashtag,Count,Year
🍝,1,2020
💁🏻‍♂️,8,2020
👻,6,2020
😈,2,2020
🤗,1,2020
🙋🏻‍♂️,2,2020
😭,5,2020
😣,1,2020
🐵,5,2020
👌🏻,13,2020
😱,1,2020
😯,1,2020
😛,1,2020
✌🏻,1,2020
😒,1,2020
😪,1,2020
👀,1,2020
☕️,1,2020
🙆🏻‍♂️,6,2020
🤣,1,2020
😂,1,2020
🙃,1,2020
🌫,2,2020
🤦🏻‍♂️,1,2020
🤔,1,2020
😔,11,2019
👌🏻,70,2019
👻,74,2019
🙄,34,2019
😪,25,2019
✌🏻,13,2019
😮,12,2019
💁🏻‍♂️,73,2019
😱,21,2019
⏰,1,2019
🤷🏻‍♂️,18,2019
🤗,43,2019
😝,25,2019
🍻,2,2019
😐,14,2019
😕,12,2019
🐵,89,2019
🤞🏻,1,2019
😓,24,2019
🙆🏻‍♂️,61,2019
😥,3,2019
🤒,1,2019
🏋🏻‍♂️,3,2019
😯,32,2019
🤔,23,2019
🪒,1,2019
🖋,1,2019
✅,1,2019
😖,2,2019
😂,73,2019
🤓,8,2019
☹️,21,2019
🥳,14,2019
😅,6,2019
🍺,3,2019
😭,41,2019
🍉,1,2019
🙃,2,2019
🙋🏻‍♂️,5,2019
👓,1,2019
🤦🏻‍♂️,7,2019
🖖🏻,1,2019
🙂,4,2019
💭,1,2019
🍯,1,2019
☕️,2,2019
😊,4,2019
🔥,1,2019
😑,5,2019
🥟,1,2019
😣,6,2019
👍🏻,6,2019
🐒,1,2019
😏,4,2019
😞,2,2019
🤨,4,2019
🛕,1,2019
🕌,1,2019
😒,6,2019
🙍🏻‍♂️,1,2019
😤,2,2019
⛈,2,2019
🌧,4,2019
🍕,1,2019
🪔,2,2019
💣,1,2019
👽,3,2019
👹,2,2019
🥜,1,2019
🧅,1,2019
🧀,1,2019
🥪,2,2019
🧭,1,2019
📷,1,2019
😌,1,2019
📦,2,2019
🚚,1,2019
🖼,1,2019
😋,3,2019
💧,1,2019
💡,2,2019
👀,1,2019
📅,1,2019
😬,7,2019
☀️,3,2019
😛,14,2019
👋🏻,4,2019
😳,1,2019
🤢,1,2019
🤮,2,2019
🌩,1,2019
🥚,1,2019
🍚,2,2019
😎,2,2019
🏍,1,2019
😘,3,2019
🤣,3,2019
👦🏻,1,2019
💳,1,2019
🍫,1,2019
🐛,1,2019
👿,1,2019
☠️,1,2019
⛅️,2,2019
🍔,1,2019
🏃🏻‍♂️,2,2019
☔️,2,2019
🙇🏻‍♂️,1,2019
🤪,1,2019
🥥,1,2019
🥛,1,2019
💪🏻,1,2019
🏡,2,2019
😰,4,2019
😈,1,2019
🤖,1,2019
🏋️‍♂️,2,2019
😍,5,2019
🤤,2,2019
🚌,1,2019
😉,1,2019
💸,2,2019
🦅,1,2019
🌞,2,2019
💛,1,2019
🦠,1,2019
🐥,1,2019
🤐,1,2019
🤬,1,2019
🥬,3,2019
👎🏻,1,2019
🎁,2,2019
🤭,2,2019
🔄,1,2019
🐝,1,2019
🥦,1,2019
🥒,1,2019
🦟,1,2019
🤘🏻,2,2019
👺,1,2019
🙊,2,2019
🌱,1,2019
🥶,1,2019
👻,94,2018
😝,35,2018
💁🏻‍♂️,66,2018
😪,12,2018
👌🏻,15,2018
🙆🏻‍♂️,52,2018
😊,4,2018
😂,30,2018
🍻,1,2018
☕️,1,2018
🤷🏻‍♂️,15,2018
🤩,1,2018
🤗,14,2018
❤️,3,2018
🤔,5,2018
🥳,1,2018
😌,5,2018
😅,11,2018
🥶,1,2018
😋,4,2018
😏,4,2018
😒,3,2018
😐,5,2018
☹️,23,2018
🤮,1,2018
😛,3,2018
😣,2,2018
🙋🏻‍♂️,2,2018
🤓,2,2018
😬,8,2018
👋,1,2018
